Model,Accuracy,Precision,Recall,F1-Score
KNN,0.8586956521739131,0.900990099009901,0.8504672897196262,0.875
SVM,0.8913043478260869,0.9142857142857143,0.897196261682243,0.9056603773584906
Decision Tree,0.7989130434782609,0.8723404255319149,0.7663551401869159,0.8159203980099503
Random Forest,0.8913043478260869,0.9142857142857143,0.897196261682243,0.9056603773584906
Logistic Regression,0.8532608695652174,0.9,0.8411214953271028,0.8695652173913043
